subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,상행,신설동,일반,0686,광운대,2025-05-30 21:00:00,1
1004,하행,사당,일반,4181,사당,2025-05-30 21:00:00,1
1001,상행,천안,일반,0700,광운대,2025-05-30 21:00:00,1
1004,하행,사당,일반,4177,사당,2025-05-30 21:00:00,1
1001,상행,용산,급행,1166,용산,2025-05-30 21:00:01,1
1008,하행,신흥,일반,8271,모란,2025-05-30 21:00:02,1
1001,하행,남영,일반,0199,인천,2025-05-30 21:00:02,1
1004,상행,상계,일반,4190,불암산,2025-05-30 21:00:03,1
1004,상행,한성대입구,일반,4194,불암산,2025-05-30 21:00:04,1
1004,상행,동대문,일반,4192,불암산,2025-05-30 21:00:04,1
1004,상행,동대문역사문화공원,일반,4682,불암산,2025-05-30 21:00:04,1
1004,하행,과천,일반,4691,오이도,2025-05-30 21:00:04,1
1004,상행,명동,일반,4196,불암산,2025-05-30 21:00:04,1
1005,하행,하남시청,일반,5169,하남검단산,2025-05-30 21:00:05,1
1004,상행,서울,일반,4330,불암산,2025-05-30 21:00:05,1
1001,상행,방학,일반,0178,의정부,2025-05-30 21:00:06,1
1004,상행,이촌,일반,4202,불암산,2025-05-30 21:00:06,1
1001,상행,동묘앞,일반,0186,양주,2025-05-30 21:00:07,1
1005,하행,하남검단산,일반,5169,하남검단산,2025-05-30 21:00:10,1
1005,하행,하남검단산,일반,5167,하남검단산,2025-05-30 21:00:10,1
1001,상행,남영,일반,0190,의정부,2025-05-30 21:00:11,1
1001,하행,서울,일반,0499,서동탄,2025-05-30 21:00:11,1
1003,상행,무악재,일반,3364,구파발,2025-05-30 21:00:11,1
1001,하행,종각,일반,0201,인천,2025-05-30 21:00:11,1
1001,상행,개봉,급행,1270,구로,2025-05-30 21:00:12,1
1007,하행,강남구청,일반,7371,온수,2025-05-30 21:00:13,1
1007,하행,도봉산,일반,7383,온수,2025-05-30 21:00:13,1
1007,하행,천왕,일반,7357,석남,2025-05-30 21:00:13,1
1007,하행,장암,일반,7387,온수,2025-05-30 21:00:13,1
1007,하행,산곡,일반,7349,석남,2025-05-30 21:00:13,1
1007,하행,내방,일반,7367,온수,2025-05-30 21:00:13,1
1007,하행,장암,일반,7391,온수,2025-05-30 21:00:13,1
1003,상행,남부터미널,일반,3376,대화,2025-05-30 21:00:13,1
1007,하행,노원,일반,7381,석남,2025-05-30 21:00:13,1
1007,하행,보라매,일반,7363,온수,2025-05-30 21:00:13,1
1007,하행,도봉산,일반,7385,석남,2025-05-30 21:00:13,1
1003,상행,대청,일반,3380,구파발,2025-05-30 21:00:14,1
1001,상행,금정,일반,0496,광운대,2025-05-30 21:00:15,1
1001,상행,중동,일반,0200,연천,2025-05-30 21:00:15,1
1003,상행,오금,일반,3384,대화,2025-05-30 21:00:15,1
1005,하행,방화,일반,5709,마천,2025-05-30 21:00:19,1
1005,하행,공덕,일반,5703,마천,2025-05-30 21:00:20,1
