subwayId,updnLine,statnNm,btrainSttus,btrainNo,bstatnNm,recptnDt,arvlCd
1001,하행,제기동,급행,1941,신창,2025-05-30 17:00:14,1
1005,하행,하남검단산,일반,5117,하남검단산,2025-05-30 17:00:22,1
1005,하행,하남검단산,일반,5119,하남검단산,2025-05-30 17:00:22,1
1005,하행,강일,일반,5121,하남검단산,2025-05-30 17:01:26,1
1001,하행,신설동,급행,1941,신창,2025-05-30 17:02:03,1
1001,하행,군포,일반,0669,천안,2025-05-30 17:02:16,1
1005,상행,강일,일반,5150,방화,2025-05-30 17:03:28,1
1005,상행,강일,일반,5148,방화,2025-05-30 17:03:28,1
1004,상행,남태령,일반,4636,불암산,2025-05-30 17:03:50,1
1005,하행,미사,일반,5121,하남검단산,2025-05-30 17:04:00,1
1001,상행,성환,급행,1940,청량리,2025-05-30 17:04:03,1
1001,상행,배방,일반,0676,광운대,2025-05-30 17:04:15,1
1001,하행,동묘앞,급행,1941,신창,2025-05-30 17:04:32,1
1001,하행,광운대,일반,0479,서동탄,2025-05-30 17:04:47,1
1001,상행,동인천,일반,0152,연천,2025-05-30 17:05:24,1
1001,하행,의정부,일반,0163,인천,2025-05-30 17:05:33,1
1001,하행,금천구청,급행,1939,신창,2025-05-30 17:05:49,1
1001,하행,동대문,급행,1941,신창,2025-05-30 17:06:00,1
1008,상행,모란,일반,8216,별내,2025-05-30 17:06:13,1
1001,상행,동인천,급행,1118,용산,2025-05-30 17:06:14,1
1001,상행,두정,일반,0674,광운대,2025-05-30 17:06:34,1
1004,상행,사당,일반,4636,불암산,2025-05-30 17:06:40,1
1004,하행,동작,일반,4639,오이도,2025-05-30 17:06:50,1
1001,상행,양주,일반,0118,소요산,2025-05-30 17:06:57,1
1001,하행,지행,일반,0165,인천,2025-05-30 17:06:58,1
1001,하행,개봉,급행,1117,동인천,2025-05-30 17:06:58,1
1001,하행,용산,급행,1123,동인천,2025-05-30 17:07:17,1
1001,상행,안양,급행,1936,청량리,2025-05-30 17:07:17,1
1005,하행,하남풍산,일반,5121,하남검단산,2025-05-30 17:07:18,1
1005,상행,하남검단산,일반,5154,방화,2025-05-30 17:07:32,1
1001,상행,탕정,일반,0676,광운대,2025-05-30 17:07:33,1
1001,상행,노량진,급행,1112,용산,2025-05-30 17:07:39,1
1001,상행,가산디지털단지,일반,0666,광운대,2025-05-30 17:07:45,1
1001,상행,도원,일반,0152,연천,2025-05-30 17:07:45,1
1001,하행,종로5가,급행,1941,신창,2025-05-30 17:07:48,1
1001,하행,온양온천,일반,0661,신창,2025-05-30 17:07:54,1
1008,상행,다산,일반,8198,별내,2025-05-30 17:08:04,1
1009,하행,중앙보훈병원,급행,9637,김포공항,2025-05-30 17:08:07,1
1001,상행,송탄,일반,0672,광운대,2025-05-30 17:08:07,1
1001,하행,제물포,급행,1203,동인천,2025-05-30 17:08:16,1
1001,하행,두정,일반,0663,천안,2025-05-30 17:08:20,1
1001,하행,동인천,일반,0135,인천,2025-05-30 17:08:21,1
1008,하행,별내,일반,8205,모란,2025-05-30 17:08:23,1
1003,하행,화정,일반,3275,오금,2025-05-30 17:08:23,1
1001,상행,구일,일반,0140,양주,2025-05-30 17:08:34,1
1001,상행,구로,급행,1422,용산,2025-05-30 17:08:42,1
1004,상행,인덕원,일반,4322,불암산,2025-05-30 17:08:43,1
1004,하행,사당,일반,4123,사당,2025-05-30 17:08:48,1
1004,하행,사당,일반,4121,사당,2025-05-30 17:08:48,1
1009,상행,김포공항,일반,9164,중앙보훈병원,2025-05-30 17:08:53,1
1001,상행,시청,일반,0132,소요산,2025-05-30 17:08:54,1
1001,상행,석계,일반,0466,광운대,2025-05-30 17:08:57,1
1004,상행,안산,일반,4326,불암산,2025-05-30 17:08:59,1
