고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
40313,1,1704,석수,END,DOWN,0,K711,1900-01-01 21:01:30,21:02:00,광운대,신창
40567,1,1704,석수,SAT,DOWN,0,K711,1900-01-01 21:01:30,21:02:00,광운대,신창
44139,1,1709,군포,END,DOWN,0,K489,1900-01-01 21:01:30,21:02:00,청량리,서동탄
44393,1,1709,군포,SAT,DOWN,0,K489,1900-01-01 21:01:30,21:02:00,청량리,서동탄
50769,1,1718,오산대,DAY,DOWN,0,K691,1900-01-01 21:01:30,21:02:00,광운대,천안
54719,1,1726,직산,DAY,DOWN,0,K687,1900-01-01 21:01:30,21:02:00,광운대,신창
60861,1,1804,부천,DAY,DOWN,0,K193,1900-01-01 21:01:30,21:02:00,양주,인천
65891,1,1808,동암,END,DOWN,0,K179,1900-01-01 21:01:30,21:02:00,양주,인천
66255,1,1808,동암,SAT,DOWN,0,K179,1900-01-01 21:01:30,21:02:00,양주,인천
86649,1,1912,지행,END,DOWN,0,K203,1900-01-01 21:01:30,21:02:00,연천,인천
86761,1,1912,지행,SAT,DOWN,0,K203,1900-01-01 21:01:30,21:02:00,연천,인천
7082,1,155,동대문,DAY,DOWN,0,K203,1900-01-01 21:02:00,21:02:30,연천,인천
7559,1,155,동대문,END,DOWN,0,K193,1900-01-01 21:02:00,21:02:30,연천,인천
8021,1,155,동대문,SAT,DOWN,0,K193,1900-01-01 21:02:00,21:02:30,연천,인천
8634,1,156,신설동,DAY,DOWN,0,S501,1900-01-01 21:02:00,21:02:30,광운대,서동탄
14397,1,1002,남영,END,DOWN,0,K189,1900-01-01 21:02:00,21:02:30,소요산,인천
14857,1,1002,남영,SAT,DOWN,0,K189,1900-01-01 21:02:00,21:02:30,소요산,인천
17197,1,1004,노량진,DAY,DOWN,0,K199,1900-01-01 21:02:00,21:02:30,의정부,인천
23066,1,1007,신도림,DAY,DOWN,0,K7035,1900-01-01 21:02:00,21:02:30,영등포,광명
23754,1,1007,신도림,END,DOWN,0,K7035,1900-01-01 21:02:00,21:02:30,영등포,광명
24404,1,1007,신도림,SAT,DOWN,0,K7035,1900-01-01 21:02:00,21:02:30,영등포,광명
28234,1,1018,석계,DAY,DOWN,0,K207,1900-01-01 21:02:00,21:02:30,양주,인천
